stream, dataset, path, Emergency, EmittanceScan, 2p0E34+ZeroBias+HLTPhysics, 2p0E34, 1p95E34, 1p9E34, 1p85E34, 1p8E34, 1p6E34, 1p4E34, 2p0E34_OnlyMuons, 2p0E34_NoL1CICADA, Backup1, Backup2, HIon, PRef, seed
DQM, OnlineMonitor, HLT_AK8PFJet450_v30, 0, 240, 240, 240, 240, 240, 240, 240, 240, 240, 0, 240, 240, 240, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJet500_v30, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJet550_v25, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJet60_v29, 0, 480, 480, 480, 480, 480, 480, 480, 480, 480, 0, 480, 480, 480, 0, 0, L1_ZeroBias
DQM, OnlineMonitor, HLT_AK8PFJet80_v30, 0, 60, 60, 60, 60, 60, 60, 60, 60, 60, 0, 60, 60, 60, 0, 0, L1_ZeroBias
DQM, OnlineMonitor, HLT_AK8PFJetFwd140_v28, 0, 60, 60, 60, 60, 60, 60, 60, 60, 60, 0, 60, 60, 60, 0, 0, L1_SingleJet90_FWD2p5
DQM, OnlineMonitor, HLT_AK8PFJetFwd200_v28, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet120_FWD2p5
DQM, OnlineMonitor, HLT_AK8PFJetFwd260_v29, 0, 240, 240, 240, 240, 240, 240, 240, 240, 240, 0, 240, 240, 240, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJetFwd320_v29, 0, 120, 120, 120, 120, 120, 120, 120, 120, 120, 0, 120, 120, 120, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJetFwd400_v29, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJetFwd40_v29, 0, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 0, 15000, 15000, 15000, 0, 0, L1_ZeroBias
DQM, OnlineMonitor, HLT_AK8PFJetFwd450_v29, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJetFwd500_v29, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
DQM, OnlineMonitor, HLT_AK8PFJetFwd60_v28, 0, 90, 90, 90, 90, 90, 90, 90, 90, 90, 0, 90, 90, 90, 0, 0, L1_ZeroBias
DQM, OnlineMonitor, HLT_AK8PFJetFwd80_v28, 0, 270, 270, 270, 270, 270, 270, 270, 270, 270, 0, 270, 270, 270, 0, 0, L1_SingleJet60_FWD2p5
DQM, OnlineMonitor, HLT_BTagMu_AK4DiJet110_Mu5_v27, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_DoubleJet80er2p5_Mu3_dR_Max0p4
DQM, OnlineMonitor, HLT_BTagMu_AK4DiJet170_Mu5_v26, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_DoubleJet120er2p5_Mu3_dR_Max0p8
